Product_id;Final_year_review_count
0827229534;1
0738700797;1
0486220125;1
B00000AU3R;1
0231118597;1
0375709363;2
1590770218;4
1559362022;3
0195110382;1
0849311012;1
B000007R0T;1
078510870X;2
0790747324;10
B00005NTSV;3
0939165252;1
0231096704;1
0895872218;1
0761116982;1
0439240751;1
B000002O8D;1
0618111212;1
0787950599;1
0312199406;1
B000056PNB;3
0486268780;1
1861007418;1
0687054532;2
0875420532;1
0613100093;1
6303360041;1
0393971694;1
0966723821;1
0689846088;2
0393037622;2
B0000060T5;1
157281196X;1
0113300174;1
0786863919;1
0312982178;1
0874850037;1
0811726371;1
6304286961;6
0140430407;1
B000063W82;1
0415157528;1
0671727737;2
1566913810;1
037575380X;1
039572774X;1
0310485002;1
042515517X;1
B0000646IJ;1
0743509315;3
1858685486;1
1555919332;1
038548125X;1
0471346608;1
0380819546;1
0140445684;1
0878301534;1
0312871880;1
0767905288;11
078795893X;1
0452011604;1
0781433525;1
B00003Q5AA;1
1886110867;1
0590108859;1
1581127723;1
0743202554;1
0812550749;1
B00000IC83;1
0140272100;1
B00000IC89;1
0804119368;1
0810939770;1
0931892813;1
0895296586;1
0807842109;1
0226309045;1
0385332998;1
0471394327;2
0064470954;1
B00000IC8Z;1
0299183106;2
1858600073;1
B00000IC8F;1
B00000IC8L;3
0465024769;2
0060195207;2
0768907152;1
6303454488;7
1573229326;17
1570718903;1
0883680947;1
0671562711;2
0873376129;1
1588800334;2
B00007L4N1;1
0471215716;1
0743227433;1
0849962676;2
0964385376;1
1882413024;1
0769218261;1
B000003ONP;1
014023778X;1
0793807506;1
0962096733;1
B000000HF0;3
0312862156;2
0446389862;1
0811810984;1
6301045734;1
B0000262WI;6
6301967917;8
0027348407;1
006440823X;8
3822860476;1
1885167369;4
0875421210;2
0064440451;1
0140437983;7
0672321971;1
0029148510;2
093314993X;1
0028642406;1
0786807695;34
0916562514;1
0399522719;1
1575849100;1
0385504209;47
0062514547;1
B0000506TM;1
042512911X;2
0195039343;2
0380732734;1
B00006LU75;1
1893554627;2
B000068GAS;1
B000002NH0;2
0345406672;1
0807403563;1
0672320789;1
B000068GAK;7
0312119119;1
0736649417;2
1876778911;1
0743445643;4
0840733208;5
1587620685;6
0071580255;1
0130810819;1
B00004U0FN;1
078971826X;1
0471983861;1
1879773058;1
B00004TAU0;1
0140433562;1
0415143551;1
B000002NHZ;1
B000068GA4;2
B000068GA5;7
B000002NHU;2
B000068GA3;3
0887292933;1
B000002NHJ;1
B000002NHO;9
B000002NHD;1
0963288539;1
B000002NHF;1
B000002NHG;3
B000002NHC;1
B000002NHA;5
0446677027;2
0684856921;1
0899333397;1
0937381608;1
1892784076;5
B00000I9P0;1
0898703484;2
1551668556;2
0262561077;1
0791415805;1
6301966422;1
1551802775;2
0674875311;1
B00000I9PK;1
0743520947;2
0198643128;2
088404291X;1
3895088994;2
067972186X;1
0306808579;1
1852791047;1
157270182X;1
0805055592;1
0721674895;1
0486284999;2
0679444653;6
6303864120;1
096745039X;1
0312966091;6
0061007226;9
B0000296JH;2
B0000296JO;1
B0000296JD;3
B0000296JC;6
B0000296JF;1
0811826449;3
0787951978;1
B0000296JU;3
B0000296JW;1
0385333641;1
0816623414;1
0866539972;1
1874416125;3
0679449159;3
B0000296J9;4
0060920203;1
B0000296J5;1
B0000296J3;2
0590282085;1
B000004BTI;1
0671315242;1
0689801130;1
0399521372;1
0891099506;1
6304972857;2
0028639197;2
0452280362;2
B000000WID;2
0691089566;1
B00000K2C1;2
B000050X30;3
B000050X32;3
B00000K2C5;2
0802436919;3
B000050X31;4
B000006DGD;2
1932047093;1
B000002VTR;1
0684831376;4
1591821924;1
0811201899;1
0310228735;1
B00000K2CD;1
B00000K2CG;1
B00000K2CH;1
0694524182;4
B00000K2CM;1
0801020751;1
B00000K2CW;1
0521775043;1
B000001OOP;1
0613020707;2
0451523822;2
0451163966;19
0399233806;2
0130742163;2
B000002V0L;1
0553801430;17
B000002V0M;1
B000002V0N;1
B000002V0I;2
B000002V0H;1
B000002V0K;1
B000002V0F;6
B000002V0C;2
B000002V0B;1
0446677817;1
0151009309;2
B000002V0X;1
B000002V0Y;2
B000002V0T;3
B000002V0W;1
B000002V0Q;3
B000002V0S;1
0679767231;1
096312465X;1
1881235254;2
0425182681;2
B000002V06;1
B000002V07;2
1559276827;1
019527251X;6
0689714920;5
038548948X;11
B000000NMG;3
0553290991;1
0855328673;1
B000000NMI;1
B000000NMU;1
B000000NMK;2
0764315854;1
1572240571;1
B000000NMS;1
B00004RFI7;2
0440224489;4
0784017859;1
0808562797;4
B00005UX4G;1
0890847061;1
0486420116;1
0060012404;12
6305908028;3
1565113306;36
0812991923;1
0934026262;1
0671723014;3
0440221501;1
0435086995;2
B00004RFIF;1
0520206150;1
