Product_id;Product_title;Final_year_review_count;Total_review_count;Average_rating;;
1570429596;Rich Dad Poor Dad What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not;116;1641;4;;
1586210912;Rich Dad Poor Dad What the Rich Teach Their Kids about Money that the Poor and the Middle Class Do Not Rich Dad s Audio;113;1637;4;;
0446677450;Rich Dad Poor Dad What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not;113;1637;4;;
0446310786;To Kill a Mockingbird;104;1414;4.5;;
0316316962;The Tipping Point How Little Things Can Make a Big Difference;97;445;4;;
1570427933;The Tipping Point Audio;97;437;4;;
0060938455;Fast Food Nation The Dark Side of the All American Meal;90;1199;4.5;;
0805063897;Nickel and Dimed On Not Getting By in America;67;808;3.5;;
B000089CJI;Give Up;63;351;4.5;;
0684801523;The Great Gatsby;48;934;4;;
1580627560;Why Men Love Bitches From Doormat to Dreamgirl A Woman s Guide to Holding Her Own in a Relationship;44;220;4.5;;
0066620996;Good to Great Why Some Companies Make the Leap and Others Don t;44;363;4.5;;
0694526088;Good to Great CD Why Some Companies Make the Leap And Others Don t;44;363;4.5;;
069452607X;Good to Great Why Some Companies Make the Leap And Others Don t;44;363;4.5;;
0439324599;Cut;44;245;4;;
0609805363;Beyond Civilization Humanity s Next Great Adventure;42;132;3.5;;
1403367256;Discipline Training the Mind to Manage Your Life;40;113;4.5;;
1571740481;Conversations with God Book 1 Guidebook An Uncommon Dialogue;39;932;4;;
0399142789;Conversations with God An Uncommon Dialogue Book 1;37;931;4;;
0743500474;Who Moved My Cheese An Amazing Way To Deal With Change In Your Work And In Your Life;35;1278;3;;
0970565100;Who Moved My Cheese Change Survival Kit;35;1278;3;;
1403367248;Discipline Training the Mind to Manage Your Life;34;107;4.5;;
093917345X;Who Moved My Cheese Braille Edition For the Visually Impaired;33;1278;3;;
067104334X;Who Moved My Cheese An Amazing Way to Deal With Change in Your Work and In Your Life;33;1278;3;;
0399144463;Who Moved My Cheese An Amazing Way to Deal with Change in Your Work and in Your Life;33;1279;3;;
0671579592;How to Win Friends Influence People;32;377;4.5;;
0671723650;How to Win Friends Influence People;31;377;4.5;;
0399147241;Who Moved My Cheese Large Print Edition;31;1278;3;;
0671043218;How to Win Friends Influence People;30;374;4.5;;
0671027034;How to Win Friends Influence People;30;377;4.5;;
0743420373;The Millionaire Next Door The Surprising Secrets of America s Wealthy;29;600;4;;
0743517830;The Millionaire Next Door The Surprising Secrets Of Americas Wealthy;29;600;4;;
0743455967;On Writing;28;589;4.5;;
0671015206;The Millionaire Next Door;28;600;4;;
0743517814;The Millionaire Next Door The Surprising Secrets Of Americas Wealthy;28;600;4;;
038549081X;The Handmaid s Tale A Novel;27;433;4;;
1563523302;The Millionaire Next Door The Surprising Secrets of America s Wealthy;27;600;4;;
0071385495;Addicted to Unhappiness Free yourself from moods and behaviors that undermine relationships work and the life you want;27;35;4.5;;
0743517849;The Millionaire Next Door The Surprising Secrets Of Americas Wealthy;27;600;4;;
0743517822;The Millionaire Next Door The Surprising Secrets Of Americas Wealthy;27;600;4;;
1567315682;The Millionaire Next Door The Surprising Secrets of America s Wealthy;27;600;4;;
0613080939;Ishmael;26;712;4;;
0553375407;Ishmael An Adventure of the Mind and Spirit;26;712;4;;
0393057658;Moneyball The Art of Winning an Unfair Game;25;252;4.5;;
0310219604;The Case for Christ A Journalist s Personal Investigation of the Evidence for Jesus;25;449;4;;
1878424319;The Four Agreements A Practical Guide to Personal Freedom;25;405;4;;
0310226465;The Case for Christ A Journalist s Personal Investigation of the Evidence for Jesus;25;449;4;;
0310209307;The Case for Christ A Journalist s Personal Investigation of the Evidence for Jesus;25;449;4;;
1573241415;The 12 Secrets of Highly Creative Women A Portable Mentor;24;69;5;;
1567314163;The 12 Secrets of Highly Creative Women A Portable Mentor;24;69;5;;
0743520343;Getting Things Done The Art Of Stress Free Productivity;24;140;4.5;;
0142000280;Getting Things Done The Art of Stress Free Productivity;23;138;4.5;;
0743520335;Getting Things Done The Art Of Stress Free Productivity;23;138;4.5;;
0940687003;Think and Grow Rich;23;260;4.5;;
0670891924;The Art of Seduction;23;114;4;;
1565115201;The Art of Seduction;23;114;4;;
156511521X;The Art of Seduction;23;114;4;;
0670899240;Getting Things Done The Art of Stress Free Productivity;23;138;4.5;;
1559276134;Think and Grow Rich;23;262;4.5;;
1576600998;Full Frontal PR Getting People Talking about You Your Business or Your Product;23;39;4.5;;
0060652896;The Screwtape Letters Gift Edition;22;236;5;;
0609610570;Execution The Discipline of Getting Things Done;22;157;3.5;;
1559276126;Think and Grow Rich;22;262;4.5;;
0449214923;Think and Grow Rich;22;260;4.5;;
0060093668;Screwtape Letters The;22;236;5;;
0060652934;The Screwtape Letters;22;236;5;;
0964326108;Power vs Force The Hidden Determinants of Human Behavior;21;125;4;;
0964326116;Power vs Force The Hidden Determinants of Human Behavior;21;125;4;;
0449911462;Think and Grow Rich;21;262;4.5;;
158063205X;Think and Grow Rich;21;260;4.5;;
0879804440;Think and Grow Rich;21;260;4.5;;
0449001083;Think and Grow Rich A Black Choice;21;260;4.5;;
0739302752;Execution The Discipline of Getting Things Done;21;157;3.5;;
0793154154;Making Big Money Investing in Real Estate Without Tenants Banks or Rehab Projects;21;82;4;;
1561709336;Power vs Force The Hidden Determinants of Human Behavior;21;126;4;;
1930097441;The Richest Man In Babylon;20;258;5;;
1587990717;Fooled by Randomness The Hidden Role of Chance in the Markets and in Life First Edition;20;232;4;;
0759642982;Discipline Six Steps to Unleashing Your Hidden Potential;20;62;4.5;;
0446602744;The Rules TM Time Tested Secrets for Capturing the Heart of Mr Right;20;461;3;;
0452267250;The Richest Man in Babylon The Success Secrets of the Ancients;19;258;5;;
0060652926;Mere Christianity;19;246;4.5;;
0451165209;The Richest Man in Babylon;19;258;5;;
0451205367;Richest Man in Babylon;19;259;5;;
0671663984;SEVEN HABITS OF HIGHLY EFFECTIVE PEOPLE Powerful Lessons in Personal Change;18;583;4;;
1883219337;The 7 Habits of Highly Effective People;18;583;4;;
0671708635;The 7 Habits of Highly Effective People;18;583;4;;
188321937X;The 7 Habits of Highly Effective People;18;583;4;;
0671315285;7 Habits Of Highly Effective People Cd;18;583;4;;
9992006684;Seven Habits of Highly Effective People Cassettes;18;583;4;;
1883219027;The 7 Habits of Highly Effective People;18;583;4;;
0762408332;Seven Habits of Highly Effective People Miniature Edition;18;583;4;;
188321923X;The 7 Habits of Highly Effective People;18;583;4;;
0671687964;The 7 Habits of Highly Effective People;18;583;4;;
1929494157;The 7 Habits of Highly Effective People;18;583;4;;
0613191455;Seven Habits of Highly Effective People Powerful Lessons in Personal Change;18;583;4;;
1883219973;The 7 Habits of Highly Effective People;18;583;4;;
0679720200;The Stranger Vintage International;17;419;4;;
0670881465;The 48 Laws of Power;17;353;4;;
0671791540;Awaken the Giant Within How to Take Immediate Control of Your Mental Emotional Physical and Financial;17;230;4;;
0671657860;Many Lives Many Masters The True Story of a Prominent Psychiatrist His Young Patient and the Past Life Therapy That Changed Both Their Lives;17;217;4;;
0793173655;Making Big Money Investing in Foreclosures Without Cash or Credit;17;31;4;;
0533131936;SB 1 or God;17;83;4;;
0964965003;Financial Independence;17;18;5;;
0671582089;Awaken The Giant Within;17;230;4;;
1571743812;Excuse Me Your Life Is Waiting The Astonishing Power of Feelings;17;169;4;;
0140280197;The 48 Laws of Power;16;352;4;;
0192860925;The Selfish Gene;16;175;4.5;;
0967089301;Men Are Like Fish What Every Woman Needs to Know About Catching a Man;16;84;4;;
0385495196;Take Command Leadership Lessons from the Civil War;16;19;4.5;;
0385495188;Leadership Lessons from the Civil War Winning Strategies for Today s Managers;16;19;4.5;;
0967089328;Men Are Like Fish What Every Woman Needs to Know About Catching a Man;15;84;4;;
047102466X;Profitable Candlestick Trading Pinpointing Market Opportunities to Maximize Profits;15;30;4.5;;
1571741941;Excuse Me Your Life is Waiting The Astonishing Power of Feelings;15;167;4;;
1580626831;22 Keys to Creating a Meaningful Workplace;15;23;5;;
020530902X;The Elements of Style Fourth Edition;15;222;4.5;;
1574533924;Excuse Me Your Life is Waiting The Astonishing Power of Feelings;15;167;4;;
1574535110;Excuse Me Your Life is Waiting The Astonishing Power of Feelings;15;167;4;;
0553210092;The Scarlet Letter;15;348;3.5;;
1592400035;The Power of Losing Control Finding Strength Meaning and Happiness in an Out of Control World;15;23;5;;
0393315703;The Blind Watchmaker Why the Evidence of Evolution Reveals a Universe Without Design;15;270;3.5;;
1580622666;22 Keys To Creating A Meaningful Workplace;15;23;5;;
0060652950;The Great Divorce;15;144;4.5;;
0226467716;Moral Politics How Liberals and Conservatives Think;14;37;4;;
0385499345;The Lexus and the Olive Tree Understanding Globalization;14;349;3.5;;
0486272745;The Prince Dover Thrift Editions;14;212;4.5;;
0226500438;The Prince;14;212;4.5;;
0226500446;The Prince;14;212;4.5;;
0300064020;The Prince Rethinking the Western Tradition;14;212;4.5;;
1564146308;10 Secrets of Time Management for Salespeople Gain the Competitive Edge and Make Every Second Count;14;18;5;;
0872203166;The Prince;14;212;4.5;;
0300064039;The Prince Rethinking the Western Tradition;14;212;4.5;;
0679410449;The Prince Everyman s Library Cloth;14;212;4.5;;
