,number_of_visits
0887306187,0.0469599
0875848346,0.0438057
0131014986,0.0375779
188603933X,0.0353709
0967162408,0.0345543
0130336297,0.0310932
0553212788,0.0233891
0875421180,0.0227919
1881052826,0.0201626
0875849105,0.0163968
1576751287,0.0158067
0553345397,0.0148631
157224223X,0.0130169
0515090484,0.0119342
0451527100,0.0116715
0875420508,0.011499
0449214923,0.0113608
1572242140,0.0109262
0786865954,0.0109146
0789723107,0.0108442
0688146198,0.0102275
0060931841,0.0085503
0786864370,0.0081598
0865475873,0.0078876
0028638352,0.0077786
1572242299,0.0076168
0786868244,0.0074465
0072430788,0.0073421
0898794080,0.0069368
0786868236,0.0068696
0226458083,0.0063114
0500282293,0.0062618
032416470X,0.0057504
1567313825,0.0057439
156205810X,0.0056858
007255374X,0.0056316
0793144914,0.0055223
0966269616,0.0054985
0240803744,0.005496
0941188280,0.005124
0324065914,0.0051217
0873529863,0.004916
0764113992,0.0048145
0060533226,0.0047167
0385476035,0.0046132
0884151158,0.004593
0553371835,0.0045348
0375705619,0.004359
0072485450,0.0042873
0911226311,0.0042312
0787910430,0.0040606
0787900338,0.0039005
0963545809,0.0037033
1555520529,0.0036849
0300088981,0.0036786
0520236742,0.0036531
0310214785,0.003558
0785278117,0.0034905
0793173655,0.0033996
091122629X,0.0033266
0486425576,0.0032446
0679736042,0.0032387
0895947366,0.003232
0877282463,0.0032253
1559276568,0.0031109
0062513710,0.0029997
0875421849,0.0027472
0684863758,0.0027128
0316180661,0.0027017
0465073514,0.0026765
0240803299,0.0026681
0471578266,0.0026449
0684840073,0.0025541
0865713847,0.0025365
0415278449,0.0025301
087728069X,0.0025183
0679441247,0.002509
0451205367,0.0024277
0805366245,0.0023798
055327757X,0.0023128
1576832201,0.0023089
1571741437,0.002296
0262540908,0.0022576
0684846470,0.0022498
0671212095,0.0022291
068481868X,0.0021726
0785270450,0.0021473
0941188108,0.002138
0060652926,0.0021301
0963865439,0.0020799
0941188256,0.0020468
0195136306,0.0020199
0767904818,0.0019884
0738703192,0.0019781
0887307043,0.0019633
0919345921,0.001923
0831400447,0.0018638
0793146003,0.0018612
1571741593,0.001857
068482681X,0.0018528
0767904842,0.0018517
0300076754,0.0018276
0842378960,0.0017746
0440202019,0.0017648
0964595354,0.0017632
0142001619,0.0017366
0806522755,0.0017362
048620295X,0.0016823
0942061411,0.0016719
0262540533,0.0016701
0743462688,0.0016586
0070062188,0.0016581
0312964137,0.0016358
0060652969,0.0016214
0887305946,0.0015753
0786866578,0.0015736
0486278875,0.0015503
0887308570,0.0015484
0060913916,0.0015167
0674194241,0.0015164
0812694120,0.0015151
0253211115,0.0014797
0875423205,0.0014462
155927672X,0.0013957
0399525408,0.0013916
8120801636,0.0013863
0830822763,0.0013643
0806966114,0.0013534
1582343292,0.0013201
0440223067,0.0013029
0446531774,0.001267
0919345662,0.0012239
1878901729,0.0012172
0786865237,0.0012028
0812931181,0.0012016
1886785058,0.0011973
0670031860,0.0011942
0345441494,0.0011738
0875846327,0.0011701
0961413506,0.0011611
1886903972,0.0011534
0964010496,0.0011493
0028639456,0.0011367
0313232008,0.0011352
0071362363,0.0011023
0471417920,0.0010913
0919345638,0.00105
0671723650,0.0010478
B00007FYI3,0.0010388
1580621376,0.0010263
0393307077,0.0010247
0310236487,0.0010218
0963401947,0.0010215
0764112945,0.0010178
0071357246,0.0010174
0060652934,0.0010168
0310250005,0.0010154
1580084737,0.0009593
0910311641,0.0009568
1576600122,0.0009565
0812933044,0.0009537
0300013728,0.0009515
0553263900,0.0009414
0738700932,0.0009397
0316353167,0.0009382
0735200939,0.0009177
0060928174,0.0009171
080652071X,0.0008916
0140442014,0.0008868
1567184995,0.0008853
0767903730,0.0008789
0312115040,0.000858
0375406697,0.0008562
0385490119,0.0008531
0486411214,0.0008521
0911226338,0.0008513
0966920201,0.0008513
0071353208,0.000851
0872204529,0.0008353
055357485X,0.0008293
076791029X,0.0008291
0963203401,0.0008225
0156329301,0.0008203
0883684454,0.0008195
0809253437,0.0008193
1568362498,0.0008166
155643393X,0.0008051
087542127X,0.000799
0140282025,0.0007894
157224268X,0.0007875
0201710382,0.0007847
0571202284,0.0007831
0300087276,0.0007796
0793169380,0.0007744
0890878153,0.0007658
0324164920,0.0007574
0060927585,0.0007553
0553371320,0.0007517
0679720235,0.000734
0198750242,0.0007227
0440154138,0.0007223
0806504633,0.0007207
0140436154,0.0007197
1582340641,0.0007174
047154860X,0.0007095
078688441X,0.0007016
1401396712,0.0006998
1586214705,0.000692
0722538685,0.0006777
0914955675,0.0006685
0486276252,0.0006503
0446673862,0.0006419
1567184855,0.0006379
0684851938,0.0006364
0060195711,0.000633
1567182003,0.0006229
0786887788,0.0006206
0961413514,0.0006164
1580084575,0.0006052
0882791346,0.0006051
1558608400,0.000587
0915035634,0.0005844
0300002386,0.0005751
1578631351,0.0005721
0538690399,0.0005678
0894860658,0.0005636
0071385649,0.0005564
0028252756,0.0005563
1930004052,0.0005517
0415285941,0.0005486
0471573302,0.0005468
0806927798,0.0005447
0195131444,0.0005441
B00000273U,0.0005432
0486421309,0.0005428
0787902934,0.0005425
0460873571,0.0005379
0948390557,0.0005355
1568385048,0.0005352
037572527X,0.0005342
0316353000,0.0005342
0767903803,0.0005331
0967509912,0.0005318
0875421229,0.0005277
B0000025YD,0.0005255
0062516329,0.0005254
1574101277,0.0005182
068482471X,0.0005131
1559276738,0.0005106
0865475784,0.0005101
B00008RWBH,0.0005093
0226458067,0.0005065
1578591147,0.000486
B0000025RO,0.0004814
1576600726,0.0004777
0486295834,0.0004777
0025534408,0.0004773
3822863033,0.0004757
0071370285,0.0004753
089529656X,0.0004723
0140431950,0.0004707
0786865962,0.0004704
1879237326,0.0004695
1571741259,0.0004631
0446670537,0.0004598
0140436790,0.0004579
0972020705,0.0004532
0321078438,0.0004473
B0000025H2,0.0004403
1565922824,0.0004327
0966407202,0.0004306
0835606716,0.0004288
1576750612,0.0004267
0471109460,0.0004261
1891929194,0.0004256
0688112730,0.0004248
0786870710,0.000423
0865713928,0.0004173
0446531502,0.0004172
0879803738,0.000416
0895947811,0.0004153
0071391347,0.0004105
073820482X,0.0004076
0860916464,0.0004054
0882862359,0.000405
0393301354,0.0004042
080650997X,0.0003971
1580084567,0.0003958
0020160224,0.0003935
0071414339,0.0003904
1585420212,0.0003902
0875846416,0.0003877
0965967239,0.0003876
1567180140,0.0003861
0967206715,0.0003819
0385299850,0.0003816
0805373659,0.0003788
1580910998,0.0003737
1567183042,0.0003735
1565923510,0.0003724
067179437X,0.0003698
1565075331,0.0003648
0691020310,0.0003642
0553585975,0.0003621
0806508663,0.0003616
1564146413,0.0003607
1567184243,0.0003607
0072501847,0.000357
0911226435,0.0003544
0460874314,0.0003524
0865970084,0.000347
1564143961,0.0003454
0262133822,0.0003448
0399128298,0.0003448
1561452181,0.0003438
0940795027,0.0003425
0060653019,0.0003395
0767908457,0.0003393
1561452041,0.0003379
0140441654,0.0003361
0735712026,0.0003348
0674993047,0.0003344
0310221498,0.0003333
0314008640,0.0003316
0932666183,0.0003279
0899666612,0.0003277
0312119119,0.0003265
0892817348,0.0003231
031287782X,0.0003202
0060652381,0.0003199
0684855275,0.0003196
0964385376,0.0003195
1561451304,0.0003183
1886785031,0.0003097
0070078386,0.0003075
0310485088,0.0003058
1580622585,0.0003055
0808509551,0.0003055
0684838230,0.0003046
047120367X,0.0003029
0679424733,0.0003025
067978120X,0.0003021
0671646788,0.0003014
007003060X,0.0002997
0964082217,0.0002994
0877735379,0.0002986
0814471773,0.0002981
0201567512,0.0002952
1574101250,0.0002936
0192834371,0.0002929
1581210094,0.000292
0517880857,0.0002897
0060093668,0.0002894
1555520693,0.000286
014019536X,0.0002855
0671657860,0.0002782
1578563682,0.0002754
0911226400,0.0002752
0521567971,0.0002741
0735712018,0.000274
0151001855,0.0002736
1556433204,0.0002704
0030258170,0.0002701
0835604225,0.0002684
087516000X,0.0002676
0399527494,0.0002651
067940564X,0.000264
0312144776,0.0002609
1853267813,0.0002606
156414481X,0.00026
1568362021,0.0002586
0793107474,0.0002585
0679413308,0.0002584
0060931159,0.0002554
0879757051,0.000254
0934986207,0.0002539
088289126X,0.0002505
1556654901,0.0002504
020172913X,0.0002503
0895949040,0.0002498
0256112312,0.0002486
157805091X,0.0002473
0446677450,0.0002467
0553354566,0.0002461
0793139023,0.0002445
1565077822,0.0002443
1886801215,0.0002442
1401397417,0.0002406
0914955578,0.0002403
0671510576,0.0002389
0375713425,0.0002384
0735710627,0.0002377
1567181015,0.0002367
0226816273,0.0002357
0156870118,0.0002351
1555535615,0.0002349
1893384152,0.0002319
0312169140,0.0002313
0130646369,0.0002311
0874514614,0.0002308
0596000359,0.0002305
006065273X,0.0002304
