,number_of_visits
0553212788,0.0032725
0875163238,0.0032446
0449214923,0.0023786
0130336297,0.0022355
0060931175,0.0020265
0451527100,0.0018332
0066620996,0.001575
086543171X,0.0015354
0140157352,0.0015073
0609610570,0.0015
0385260954,0.0014599
0671723650,0.0014249
0805366245,0.0014228
0671646788,0.00142
0875421180,0.0013794
0875847471,0.0013473
0486411214,0.0012997
0451205367,0.00126
0671708635,0.0012434
0312270178,0.0012328
0684852861,0.0011906
0486425576,0.0011704
0060652926,0.0011479
0787960756,0.0011247
0446677450,0.0011193
1587620685,0.0011081
0192860925,0.001099
0789723107,0.0010989
0060521996,0.0010717
0324183518,0.0010585
0060391685,0.0010513
068815428X,0.0010489
0140444270,0.0010235
1884956173,0.0009982
0226458083,0.0009548
0300087012,0.000949
0399144463,0.0009432
1580627560,0.0009425
0962067164,0.0009173
0312204280,0.0009147
0883780305,0.0009121
0446678619,0.0009118
0486296024,0.0008993
0060931841,0.0008923
0688146198,0.0008866
0471213268,0.0008822
0671792806,0.0008739
087516000X,0.0008715
0688123163,0.0008521
0786884274,0.0008304
0446677477,0.0008167
0793144914,0.000815
0865475873,0.0008131
0873529863,0.00081
0761512195,0.0007998
0872205525,0.0007958
0891061231,0.000795
0898795109,0.0007889
0684857162,0.0007644
0875421229,0.0007634
0935257055,0.0007604
0393301354,0.0007487
0142000280,0.0007425
0875423248,0.0007327
0671212095,0.0007325
0375758259,0.0007322
0553371312,0.0007298
0875421288,0.0007296
0553283960,0.0007263
0140431950,0.0007256
0399142789,0.0007249
0875420508,0.0007226
0140280197,0.0007226
0060517123,0.0007172
1555520529,0.0007154
0553345397,0.0007145
1561709336,0.0007127
0071373586,0.0007111
0316353000,0.0007098
0060958332,0.0007053
0070779740,0.0007052
0688014291,0.0007047
0345425871,0.0007028
0684841487,0.0006986
0735201811,0.0006984
0060007737,0.0006913
0743201140,0.0006899
0451197461,0.0006844
157224223X,0.0006839
0140143459,0.000678
0787968331,0.0006763
0735200300,0.0006659
0786866020,0.0006654
0446677469,0.0006647
014028852X,0.0006624
0684802031,0.0006598
055327757X,0.0006531
0385720270,0.0006473
0471196533,0.000647
0670031518,0.000647
0062503731,0.0006446
0743456947,0.0006404
0380713640,0.0006399
0072528788,0.0006397
0743525078,0.0006389
