,number_of_visits
0312270178,0.0590538
0312204280,0.0582211
0140280197,0.0528045
0345425871,0.0438405
0399142789,0.0304257
0743456947,0.0281632
0609610570,0.0255882
0324183518,0.0242088
1884956173,0.0193399
0066620996,0.0157327
0684852861,0.0129654
1571740562,0.0127983
0312194668,0.0125348
0226458083,0.0105295
0070779740,0.0104673
0871161990,0.0099334
0887306136,0.0097847
0814479359,0.009571
006093574X,0.0094775
0071379304,0.0094373
1571741038,0.009016
0898798140,0.0088216
1576751996,0.0086565
0060958332,0.0086556
0071388966,0.0083475
0789723107,0.0081808
0140178244,0.0078393
0967286247,0.0075871
0130336297,0.0075453
0887309992,0.0071417
0300088981,0.0064548
0399145419,0.0062173
0814477844,0.0061907
0028629426,0.0061248
0071364293,0.0060557
1565541464,0.0060534
0887306144,0.0059185
0071364307,0.0058589
0814479707,0.0055074
0380715775,0.0050042
0345410025,0.0049391
0130462152,0.0048859
0415278449,0.004822
157851486X,0.0046739
0310210089,0.0046557
0399146709,0.0044514
0060391685,0.0043831
1565923510,0.0042746
0312247389,0.0041812
B00007FYI3,0.0038539
073520019X,0.003765
1886785058,0.0037427
0960170618,0.0037197
0060927585,0.0035358
0060516070,0.0034518
0553345397,0.003444
0805366245,0.0033564
0967205905,0.0033375
1576600351,0.0032949
0674011139,0.0032664
0226458067,0.0031804
037543089X,0.0031067
1929516053,0.0030906
1565922824,0.0029992
0618127445,0.0029333
0520224566,0.0029288
0679743898,0.0029253
1879505444,0.0029164
0028629523,0.0028767
157224223X,0.0028652
0226457982,0.0028217
0486296024,0.0028032
1571741402,0.0027901
0324042914,0.0027871
0195078063,0.0027634
1565115201,0.0026563
1582341028,0.00265
0140143459,0.0026077
0071379541,0.0025537
0914955578,0.0025246
0395906253,0.002508
0764524313,0.0024993
0060012781,0.002499
157660070X,0.0024123
0520054539,0.002403
076791029X,0.0023786
0787956678,0.0023482
0130165832,0.0022583
1578563682,0.0022359
1559277459,0.002215
1561705322,0.0022069
0395700132,0.0022061
053438367X,0.0021891
156205810X,0.0021746
1571742638,0.0021615
1561706280,0.0021285
0874778549,0.0020455
0895947366,0.0020385
0534204066,0.002
0375758259,0.0019648
0310215668,0.0018907
046505434X,0.001871
0814250033,0.0018353
0471573302,0.0018232
093022289X,0.0018155
0814250769,0.0018009
031226691X,0.0017964
0465060560,0.0017914
0395687187,0.0017839
0887306128,0.0017443
096787551X,0.0017313
0842359184,0.0017305
0471515388,0.0016766
0762705124,0.0016733
0446676950,0.0016592
0937611697,0.001642
0465085881,0.0016235
0451528123,0.001559
0684846411,0.0015279
0312281544,0.0015065
0425189848,0.0014949
007138703X,0.0014776
0688128165,0.0014692
0471254541,0.0014539
0671043196,0.0014457
081440765X,0.0014422
0786866578,0.0013817
0875847471,0.0013658
067179227X,0.0013466
0875421229,0.0013005
0887306152,0.0012928
0140120904,0.0012661
0887306713,0.0012396
0140263284,0.0012349
015508481X,0.0012228
1590070194,0.0012167
0694520802,0.0012139
0694514799,0.0012079
0875847382,0.0011936
0875421180,0.0011885
1565114078,0.0011826
0812862635,0.0011767
0262510863,0.0011588
0743522850,0.0011112
0060934913,0.0010994
0937611352,0.0010923
0312218990,0.0010917
0140286780,0.0010896
0471225800,0.0010708
0609806262,0.0010639
0471109460,0.0010597
1559635355,0.0010554
1581150989,0.0010419
0452265193,0.0010388
0395578205,0.0010285
0750640987,0.0010098
0425189856,0.0010083
1559774908,0.0010059
0446362999,0.0010019
1571740724,0.0009988
0814471714,0.0009945
