,number_of_visits
0875163238,0.123982
0679757651,0.0325289
0679755551,0.0301176
0679754938,0.0204047
0385499345,0.0194388
0789723107,0.0189868
0131014986,0.016268
0192860925,0.0134905
0060932902,0.0128727
0872205525,0.0128631
0684844419,0.0101243
0802138292,0.0100042
0394567846,0.0098304
0471386308,0.0095951
0060555661,0.008981
068815428X,0.0085895
0130336297,0.0079706
0060971843,0.0076902
0688170366,0.0075446
0743442202,0.0074786
0375407723,0.0072189
038549369X,0.0065723
007138703X,0.006083
0684856360,0.0059509
038548755X,0.0058715
0679405887,0.0055789
0316353000,0.0054485
0385485662,0.0054256
0883473240,0.0053634
0679438084,0.0052819
0883472996,0.0051389
007255374X,0.0050492
067162248X,0.0049938
0671212095,0.0049463
088347316X,0.0049225
1587360942,0.0048428
1578563682,0.004816
0609806262,0.0046727
0883473232,0.0046182
0883473224,0.0046151
0865475873,0.004553
074350416X,0.0044841
0471177504,0.0044212
1581150989,0.0044116
0671761552,0.004338
0684870681,0.0043278
1581152744,0.0039191
0883473127,0.0037461
0787955086,0.0037274
157224223X,0.0037239
0672316498,0.0036279
074323538X,0.0036134
0764116622,0.0033734
0684811634,0.0033458
0446673870,0.0033344
B00005A3K7,0.0033011
1561794643,0.0032866
1892538067,0.0032736
0787955132,0.0031766
0399550003,0.0031498
0786866020,0.003112
0887309429,0.0030911
1572240229,0.0030592
0374190666,0.0030263
0684850028,0.0029993
0787955140,0.0029663
0140282025,0.0029471
0399523782,0.0029363
0879801654,0.0028464
0425165051,0.0027916
0688123163,0.0027705
0066619947,0.0027091
1931412154,0.0027001
0140286780,0.0026985
0964191644,0.0026843
0345383044,0.0026245
091257612X,0.0026125
0471225347,0.0026095
0875165575,0.0025979
1581602820,0.0025036
0743200403,0.0024627
0965653544,0.0024317
0964191601,0.0023889
1930491018,0.0023857
1576830284,0.0022727
0931432952,0.0022591
0688112730,0.0022358
1880985500,0.002178
0912576111,0.002144
0694521973,0.0020963
0963865439,0.0020811
0743229533,0.0020748
0533131936,0.0020695
0962465674,0.0020657
0738700010,0.0020435
0262541165,0.0020139
0912937319,0.0020135
0966141490,0.001945
0767904818,0.0019444
0793144914,0.0019431
0060391685,0.0019341
0735200661,0.0019256
0028637496,0.0019191
0967499011,0.0018973
0875167268,0.0018944
1581151993,0.0018734
096548341X,0.0018596
0805011714,0.0018516
0375407715,0.0018502
007006606X,0.0018081
0887306292,0.0017794
0879803398,0.0016742
0912576138,0.0016547
1400031257,0.0016336
0486277879,0.0016211
0738204412,0.0016182
0743223144,0.0016155
1561708178,0.0016114
1585441872,0.001609
0060931841,0.0015915
0966141407,0.001589
0486268675,0.0015586
0875163025,0.0015449
0912576197,0.0015365
0195136306,0.0015324
1559278102,0.0015268
1892123924,0.0015235
1563150883,0.0014909
0201633663,0.0014827
0394756347,0.0014804
0805366245,0.0014792
0452275350,0.0014455
1559278099,0.0014432
0875421830,0.001443
1932021027,0.0014307
0609805363,0.0014274
0140178244,0.001412
0262541157,0.0014081
1561703478,0.0013948
0393730778,0.001372
1571741984,0.0013551
0966532503,0.0013488
0060955899,0.0013282
0375420797,0.001326
0892214910,0.0013201
0071409998,0.0013193
0486266877,0.001317
157071777X,0.0012934
1885167482,0.001264
1878901729,0.001262
0671880748,0.0012517
0393324397,0.0012225
0970698879,0.0012206
1885167474,0.0012186
0787955124,0.0011982
1558506004,0.0011792
1567183395,0.0011672
0300088981,0.0011529
0966002474,0.0011523
0130289221,0.0011508
0889651507,0.001145
0759614318,0.0011406
0071363092,0.0011389
0324164920,0.0011349
089486971X,0.0011317
1564596605,0.0011271
0471180033,0.0011248
0449215431,0.001118
0471592250,0.0011169
0385479425,0.0010971
1573920576,0.0010948
0671746219,0.0010834
0060503009,0.0010818
0312964137,0.0010799
0877288747,0.0010734
0971768242,0.0010607
0743524624,0.0010536
0684801620,0.0010518
0071380396,0.0010462
1576852075,0.0010448
0671213326,0.0010443
1585420875,0.0010385
0553375490,0.0010199
1582700648,0.0010197
0743226259,0.0010154
0385503024,0.0010129
0672321513,0.0010116
0764552198,0.00101
0915811626,0.0010082
0679434992,0.0010037
0553375407,0.0010028
0966141555,0.0009995
076791029X,0.0009952
0767904842,0.000989
0671605194,0.0009828
0789448386,0.0009816
0140127925,0.0009801
0738205362,0.0009795
0471399205,0.0009742
0967742013,0.0009641
0072485450,0.0009599
0517880857,0.0009586
0201710382,0.0009579
0060533226,0.0009573
1567181198,0.0009511
0743462688,0.0009437
0201612577,0.0009416
0385262426,0.000939
0803272677,0.0009265
1559638346,0.0009228
096802923X,0.0009191
0471592242,0.0009168
0809226030,0.0008946
002864168X,0.000891
0793173655,0.0008874
086571312X,0.0008848
156170671X,0.0008757
0395906253,0.0008756
0135450799,0.0008701
0060503491,0.0008657
157174102X,0.0008599
0782140203,0.0008596
0966141474,0.0008554
0671682385,0.0008517
0789478366,0.0008321
020168859X,0.0008282
0415222818,0.0008233
0823045404,0.0008167
0609808087,0.0008161
0937539414,0.0008145
0573699216,0.0008074
0393900444,0.0008071
1569246645,0.0008063
0471435716,0.0008034
0805061738,0.0007954
0910627096,0.0007951
1565077822,0.0007925
155860569X,0.0007887
1899171886,0.0007822
0595144144,0.0007809
0735201811,0.0007714
039373031X,0.0007658
1893956237,0.0007634
020132797X,0.0007623
0735710791,0.0007614
1580624154,0.000759
0395700132,0.0007583
0875163009,0.000747
0743504151,0.0007411
0965318206,0.0007344
1580629393,0.0007342
1582911037,0.0007342
1580621376,0.0007327
093689489X,0.0007326
0130891347,0.0007272
0674891503,0.0007264
0967509912,0.0007203
1565075331,0.0007182
0743416996,0.0007181
1862043299,0.0007111
0060928174,0.0007057
0875160042,0.000705
1561708097,0.0007034
0310215668,0.0006977
0964593408,0.0006956
1889964069,0.0006942
0736910190,0.000692
0520224558,0.0006846
0071379703,0.0006834
157174083X,0.0006746
0822020750,0.0006735
0875160697,0.0006716
0262632454,0.0006654
0345434978,0.0006634
0767902998,0.0006613
0812236262,0.0006568
1580620779,0.0006559
0743525906,0.0006555
0684855313,0.0006554
0793168201,0.0006528
0743525914,0.0006495
1569246262,0.000648
0875162967,0.0006476
006254490X,0.0006437
1854590995,0.0006374
1568843224,0.0006346
1560870753,0.0006326
0140436790,0.0006277
0534217508,0.000627
0066619920,0.000622
0971768250,0.0006185
081181811X,0.0006173
0835601765,0.000617
0670865303,0.0006141
0674194241,0.0006115
0471204013,0.0006109
1895629683,0.0006066
0879801344,0.0006026
0965572145,0.000588
1576850021,0.0005797
0764553461,0.0005757
0486411443,0.0005749
0879800542,0.0005739
0812931580,0.0005709
013090533X,0.0005701
0452265193,0.0005699
0879754249,0.0005687
0385413726,0.0005628
0314008640,0.0005604
1567183832,0.0005579
0060951605,0.0005562
068485001X,0.0005516
1578630010,0.0005504
1561706280,0.0005495
0962946206,0.0005492
0679420118,0.0005484
0471044601,0.0005469
0805057544,0.0005458
0393047644,0.0005403
0262621088,0.0005401
0800757173,0.0005265
0060931159,0.0005244
0818405716,0.0005243
0971933405,0.0005237
0375407731,0.0005153
0316588121,0.0005105
0735712506,0.000508
074325001X,0.0005049
0440508339,0.0005039
0962121932,0.0005012
0679762698,0.0005011
0618127445,0.0004969
0130200387,0.0004906
0963462903,0.0004882
