,number_of_visits
0875163238,0.1287379
068815428X,0.0278825
0688170366,0.0190949
1587620685,0.0190515
0761110526,0.0182372
0133036030,0.0177534
0688123163,0.0171981
074323538X,0.015896
1572242582,0.0155414
0316353000,0.0138934
006093574X,0.0117566
1578515572,0.0117202
1587622084,0.0114969
0887309992,0.0110856
0872205525,0.0107593
0762103310,0.009922
0553562835,0.0090232
0452278376,0.0083776
0786883561,0.008211
0471196533,0.0081483
0300087012,0.0072793
0962067164,0.0072144
0891415637,0.0071991
0694523658,0.0071609
0962465674,0.0070302
0312929870,0.0065347
0875848834,0.0064546
053442435X,0.0063824
073571150X,0.0063735
0887306136,0.0061852
0471592242,0.0061569
0533131936,0.0060404
0688170358,0.0059518
0156013096,0.0057619
0879801654,0.0057214
0875849075,0.0056316
1891984217,0.0054873
0553283960,0.0052259
074325001X,0.0050525
1571742727,0.004976
0471225347,0.0049151
0684870274,0.004834
0891348581,0.0048075
0471592250,0.0045621
1578511437,0.0044912
091641065X,0.0044848
0133868893,0.0043863
0486419312,0.0043181
1571740767,0.0043119
0802467997,0.004296
0879801557,0.004279
0887309151,0.0042021
0071363092,0.0041436
0735200300,0.0041163
0471384542,0.0040985
0684850028,0.0040936
0735712018,0.0040482
047115380X,0.0039832
0879801344,0.003643
0963937170,0.0036043
0312289774,0.003505
1578513294,0.0034982
0684870681,0.0034844
048629899X,0.0034716
0684838494,0.0033041
0835601765,0.0032788
0553266462,0.0030983
0072482591,0.0030935
0802467989,0.0030864
0449901998,0.0030758
0793160278,0.0030113
0802467970,0.0029944
0875421830,0.0029812
0767909143,0.0028446
0060652950,0.0028242
0399523782,0.0028039
0520076699,0.0026074
0967509912,0.002606
0786866020,0.0025456
0471403083,0.0025089
0060652934,0.0025086
0967499011,0.0024749
1929629087,0.0024464
0534349811,0.0024306
0449909298,0.0024233
0449901815,0.0024166
157851326X,0.0023952
0486411443,0.0023631
0966638328,0.0023174
1880393026,0.0023133
0471414069,0.0022549
1574101129,0.0022339
0875848842,0.0021051
0786887117,0.0021046
0553268147,0.0020647
1577330528,0.0020572
1568331266,0.001996
0471126500,0.001993
1930491018,0.0019487
0471000604,0.0019131
0140282025,0.0018465
0028642201,0.0018418
B00005A3K8,0.0018102
0684832488,0.0018065
0887306144,0.0017921
0449901572,0.0017904
047129828X,0.0017722
1564967743,0.001747
1572242167,0.0017384
0743525906,0.0017164
0875849385,0.0016992
0787945269,0.0016841
0553374397,0.0016793
0887308171,0.0016763
1573922390,0.0016586
0312187572,0.0016499
0345432797,0.0016349
186105193X,0.0016226
0130081159,0.0016129
0399524479,0.0016046
1580624154,0.0015706
0789721023,0.0015581
0807047090,0.0015569
013242066X,0.0015349
0688160999,0.0015329
068487170X,0.0015218
0963203401,0.0015111
1879237237,0.0014858
0060652969,0.0014454
0671885251,0.0014277
0684842548,0.0014145
157174083X,0.0014112
0684801620,0.0013635
1403347085,0.0013501
B00005A3K7,0.0013295
0060653019,0.001325
1571742700,0.0013061
0931432952,0.0012968
0738204412,0.0012779
1560871385,0.0012644
0767903730,0.0012522
0964965003,0.0012396
0312985487,0.0012325
0674576330,0.0012089
0553286749,0.0012041
B00000273U,0.0011837
0312111517,0.001134
0743229533,0.0011318
0892818662,0.0011283
0394756347,0.0011235
0767902998,0.0010978
0875163025,0.0010872
0967686105,0.001068
006254490X,0.001061
0971933405,0.0010587
0972167102,0.0010236
0452283574,0.0010214
1578561264,0.0010003
0534378625,0.001
0201775751,0.0009998
0595144144,0.0009992
0766107493,0.0009907
1890132284,0.000986
0972425403,0.0009807
0967840201,0.0009801
0965572145,0.000978
0968615104,0.0009706
1574101323,0.0009484
1564597210,0.0009414
0140178244,0.0009354
006662066X,0.0009245
0865475784,0.0009211
0967126509,0.00092
0764112945,0.0009138
1572481374,0.0009129
0131400525,0.0009113
0812210379,0.0009094
0553276999,0.0009068
0553245767,0.0009027
0865475458,0.0008994
014044095X,0.0008991
087131813X,0.0008949
0425081834,0.000887
0891346511,0.0008812
1578561256,0.00088
0517880857,0.0008646
0684831465,0.000864
0967851408,0.0008589
0156329301,0.0008531
0805420789,0.0008481
1580622585,0.0008366
0553375423,0.0008272
B0000029BV,0.000818
0618219196,0.0008085
1567183395,0.0008081
0071379703,0.0008013
0743462688,0.0007903
0471204013,0.0007884
0376020431,0.0007842
0262071940,0.00078
0060516070,0.0007768
B000002BRB,0.0007737
1558506004,0.000773
0811835480,0.0007712
0671520709,0.0007644
0471273473,0.000764
0912937319,0.0007465
0553279726,0.0007441
0425168735,0.0007424
0471390712,0.000739
1578511429,0.0007354
0312266286,0.000735
1555714315,0.0007338
0937611352,0.000733
1931412677,0.0007322
060980281X,0.0007312
0963600109,0.0007295
0787943711,0.0007284
020152385X,0.0007284
0312964137,0.0007253
1878901729,0.0007245
0471109460,0.0007157
0750631325,0.0007131
0070058466,0.000711
096802923X,0.0007074
0735201811,0.0006912
1559638346,0.0006881
0471079820,0.000686
0818405716,0.0006857
0471225401,0.0006837
1569246645,0.0006743
0385421311,0.0006699
0963401947,0.0006676
0449911624,0.0006665
0922356572,0.0006654
0912576197,0.0006584
0553274872,0.0006583
0393321932,0.000658
0964010496,0.0006574
0679751114,0.0006541
0130749214,0.0006526
1890132160,0.0006501
1561708178,0.0006488
0553380141,0.0006427
0930031628,0.0006414
0446678104,0.0006409
0679731148,0.0006406
0471573302,0.0006389
1576752445,0.0006298
1855383640,0.0006259
0786869143,0.0006229
1569246262,0.0006228
0879803738,0.0006224
0312263392,0.0006171
0910924007,0.0006171
0759680566,0.0006144
0694523666,0.0006106
0937611697,0.0006006
1573920339,0.0005892
0964593408,0.0005858
1557094934,0.0005857
1559277300,0.0005839
0061008559,0.0005836
1881760006,0.0005834
0802481965,0.0005832
0912576111,0.0005815
1587360942,0.0005772
0967686113,0.0005722
1578564476,0.00057
0811823644,0.0005648
0312084552,0.0005623
0694520233,0.00056
0262571587,0.0005528
0312141238,0.0005517
0966002474,0.0005489
0822020750,0.0005488
0674891503,0.0005484
1874719187,0.0005463
0965857409,0.000544
0786865237,0.0005377
1564596605,0.0005361
1577312309,0.0005321
1576850021,0.0005316
0793159636,0.0005307
0787952028,0.0005291
026208290X,0.0005287
1929177259,0.0005271
0766103005,0.0005211
0914094254,0.0005138
1558604898,0.0005136
1893705153,0.0005136
0759614318,0.0005089
0965318206,0.000505
0195115422,0.000503
0415244099,0.0004999
0321166086,0.0004995
0198750242,0.0004991
053312977X,0.0004975
1580630588,0.0004973
157805091X,0.0004958
0471253847,0.0004923
0793139600,0.0004889
0130669970,0.0004839
0345452135,0.0004804
1580083048,0.0004802
026262124X,0.0004775
0912576138,0.0004772
0812694120,0.0004728
0962067172,0.0004716
0671520628,0.0004678
0446673072,0.0004677
0071360751,0.0004677
1558605290,0.0004648
1889964034,0.0004641
1558502963,0.0004631
0945253133,0.0004629
0151002665,0.0004627
0399146067,0.0004612
0471369209,0.0004602
1571780998,0.00046
1571741054,0.0004578
1585420875,0.0004568
0674992121,0.0004549
0393976378,0.0004527
157071777X,0.0004509
0446912115,0.0004497
1561707295,0.0004492
047103620X,0.0004487
0674287770,0.0004462
0965963837,0.000446
0764116622,0.0004431
029271159X,0.0004388
0192804561,0.0004385
0966763602,0.0004385
031287782X,0.0004358
0520225082,0.000424
0399144463,0.0004213
0835208338,0.0004186
1563709228,0.0004178
0971768242,0.0004151
0735200661,0.0004126
0844232394,0.0004105
0380807009,0.0004094
0735201242,0.000408
1932021027,0.0004065
0231113137,0.0004041
0446394998,0.0003969
0935755942,0.0003958
0142001619,0.0003937
0801063671,0.000393
157851181X,0.0003922
0805417702,0.0003877
1931412154,0.0003817
1570712190,0.0003804
0875160697,0.0003785
0139414282,0.0003698
0440223067,0.0003697
1577311930,0.0003683
0671872761,0.0003678
1578566967,0.0003663
0060956399,0.0003645
0312115040,0.000364
0887308856,0.0003629
1568870205,0.0003601
0835607070,0.0003591
0595172873,0.0003583
0375713425,0.0003572
0671797506,0.0003571
0965867900,0.0003558
0914094564,0.0003535
0130461350,0.0003513
0688160905,0.0003508
1572241268,0.0003507
086571312X,0.0003453
1580080855,0.0003439
1904151108,0.0003436
0887306152,0.000343
0962946206,0.0003426
1573929344,0.000341
1561706280,0.0003401
0966363507,0.0003376
0781433657,0.0003354
0471329347,0.0003344
0761514414,0.0003315
0262540681,0.0003294
0465071384,0.0003289
0385502257,0.0003279
0312866593,0.0003274
0071374981,0.0003272
1572307188,0.000326
0875163009,0.000325
0520225147,0.0003242
0897932072,0.0003235
0671671642,0.0003207
0321078438,0.0003201
0139649581,0.0003195
0962713821,0.0003187
0875165575,0.0003169
1559633891,0.0003164
0399527389,0.0003153
0875848923,0.0003126
0380006766,0.0003126
0875167268,0.0003124
1567185800,0.000312
0060956402,0.000312
1559639458,0.0003107
1572242507,0.0003103
078214148X,0.0003093
0879803398,0.0003089
1853266752,0.0003056
1882195019,0.0003055
0914094432,0.0003048
1561704903,0.0003036
0375406697,0.0003027
0964191644,0.0002995
0273649167,0.000299
0812690699,0.0002977
0226451178,0.0002977
0679756515,0.0002969
0684823780,0.0002969
0415043182,0.0002953
055329993X,0.0002946
0965922286,0.0002941
0879800542,0.0002926
1886939101,0.0002921
0380783991,0.000291
157174102X,0.0002868
091257612X,0.0002851
0452280745,0.0002832
0875160042,0.0002789
0962067156,0.0002782
0765702428,0.0002766
0966234138,0.0002761
0195105346,0.0002754
0671605194,0.0002697
0913098604,0.0002693
0873379101,0.0002685
0553280384,0.0002677
0807047058,0.0002676
1578050952,0.0002671
0875166105,0.0002668
0140445102,0.0002627
1894020545,0.0002623
0471035122,0.000261
1859734936,0.0002599
0135450799,0.0002598
0415222818,0.0002595
0679463224,0.0002594
0060958332,0.0002585
0786118105,0.0002583
0825420202,0.0002551
0762705124,0.000255
0446357588,0.0002549
1560989661,0.0002535
1580629393,0.0002533
1585420123,0.0002504
0809229897,0.0002489
0887309143,0.0002484
047154860X,0.0002455
0385495277,0.0002455
1567183832,0.0002443
0452271371,0.0002438
0743223144,0.0002436
0671506021,0.0002423
0060503491,0.0002408
1887178287,0.00024
0814405533,0.0002398
1862043299,0.0002361
1889964042,0.0002338
0812931580,0.0002326
0679424954,0.0002322
0801022622,0.0002322
1566376211,0.0002319
0688169813,0.0002312
0471143146,0.0002306
0534380123,0.0002296
1885538901,0.0002258
0471382477,0.0002253
0385488696,0.0002252
0684856204,0.0002248
0764550586,0.0002239
0970171307,0.0002231
0060927585,0.0002222
0743525914,0.000222
0553280333,0.0002207
1558742131,0.0002206
1887472592,0.0002203
0679762698,0.0002201
1560870753,0.0002199
0156006278,0.0002193
0121384101,0.0002175
0451527526,0.0002171
019283715X,0.0002167
0471350850,0.0002164
1904151191,0.000216
0671792245,0.0002157
068485001X,0.0002144
0140444270,0.0002136
1578630010,0.0002105
0060194936,0.000209
0262621045,0.0002075
0486290735,0.0002064
1551800594,0.0002061
0875848575,0.000206
0415285941,0.0002044
0684843854,0.0002041
0671745212,0.0002027
0759614326,0.0002027
0767908864,0.0002018
002861979X,0.0001986
0471160369,0.0001985
1567313302,0.0001973
0877288747,0.0001954
1583331069,0.0001949
0694524867,0.0001921
0130102024,0.0001912
0670865303,0.000191
076458555X,0.0001899
0500278466,0.000189
0380815958,0.000189
0764554816,0.000189
074352831X,0.0001865
1561708097,0.0001862
0130289221,0.0001858
0961317752,0.0001852
0520224566,0.0001851
0786198516,0.0001849
0865474370,0.0001834
1559276010,0.0001818
0670031518,0.0001816
074320641X,0.0001814
0805373659,0.0001799
0937539260,0.0001792
0809257300,0.0001788
0130866822,0.0001787
0471351601,0.000174
0965287416,0.0001734
1892538067,0.0001732
0671764128,0.0001729
1888670304,0.0001727
0875162967,0.000172
0765701200,0.0001719
1573922110,0.0001715
0877014485,0.0001711
0738702129,0.000171
0871592428,0.000171
0966141555,0.0001707
0684864371,0.0001704
0786311509,0.0001674
0553110233,0.0001668
0534551335,0.0001666
0671765469,0.0001666
0195141997,0.0001665
0425181944,0.0001654
0671723650,0.0001648
0802139450,0.0001646
0452276853,0.0001643
0205315119,0.0001635
0130348031,0.0001633
082981339X,0.0001628
0887306128,0.0001625
0826316530,0.0001613
0471394211,0.0001613
0877739218,0.0001588
0201563215,0.0001588
1568304684,0.0001578
0553347594,0.0001576
1882940008,0.0001565
0674006542,0.0001565
0393318486,0.0001557
0966234162,0.0001546
0684833387,0.0001546
0691010161,0.000152
1880692333,0.0001506
0892814500,0.0001499
0691090092,0.0001496
0425106861,0.0001495
0970751702,0.0001489
1561700452,0.000147
0130950912,0.0001452
0671682385,0.0001443
0671727524,0.0001441
1590070194,0.0001423
0609808087,0.0001413
0195066707,0.0001407
0671746073,0.0001389
0971768250,0.0001386
0970214308,0.0001381
0452271304,0.0001369
0312258577,0.000136
0262610795,0.0001357
0679762671,0.0001355
0471361046,0.0001318
0944031900,0.0001309
0312270178,0.0001302
0964160307,0.0001284
0452270863,0.0001282
0321166809,0.0001278
1891984330,0.0001276
0521092302,0.0001264
0671724002,0.0001261
0964130521,0.0001259
0966085604,0.000125
0963761188,0.0001242
0873377931,0.0001235
1889964069,0.0001227
0471352284,0.0001219
1582700648,0.0001217
0517883015,0.0001196
067974035X,0.0001193
0425156095,0.000119
0071411909,0.000119
1567181554,0.0001187
0963462903,0.000117
0060951605,0.0001158
0393972135,0.000115
0738203874,0.0001144
0195066618,0.0001144
1559277297,0.000114
0471247391,0.0001138
0273656058,0.0001132
0743222156,0.0001129
0967742013,0.0001123
0471416274,0.0001122
B00007CWHH,0.0001105
0201483858,0.0001105
1567511309,0.0001089
0553381407,0.0001082
0066620686,0.0001079
0875848192,0.0001073
0060931175,0.0001072
0028642376,0.000107
0130866407,0.0001062
0060930519,0.0001062
1574100939,0.0001055
089486971X,0.0001054
0743525183,0.0001041
1574531875,0.0001037
0139521364,0.0001034
0316485187,0.0001032
1576750914,0.000103
0471250708,0.000103
0811902552,0.0001023
0970844492,0.0001021
156792025X,0.0001018
0449147991,0.0001014
0787947644,0.000101
0310208157,0.0001001
0151003394,9.93e-05
0793107474,9.89e-05
055380183X,9.8e-05
0970698879,9.79e-05
0028638883,9.79e-05
0471322865,9.69e-05
0937539414,9.62e-05
0130840998,9.59e-05
0970067798,9.59e-05
1567181198,9.57e-05
0875848419,9.44e-05
0895298791,9.26e-05
0674002717,9.17e-05
0195059182,9.17e-05
0521642604,9.16e-05
0060093668,9.16e-05
0060391685,8.94e-05
0262632454,8.92e-05
0262661284,8.9e-05
0785773398,8.9e-05
1882929241,8.81e-05
1843330121,8.8e-05
0452269350,8.76e-05
1573920576,8.73e-05
0743524616,8.71e-05
068484608X,8.7e-05
0964595354,8.7e-05
1561703281,8.62e-05
0738202800,8.48e-05
0694522120,8.42e-05
0071359982,8.42e-05
0684841835,8.4e-05
0743525191,8.33e-05
0393051099,8.32e-05
0060958405,8.24e-05
0964793830,8.22e-05
0425165051,8.15e-05
037572527X,8.03e-05
0915811626,8.01e-05
0679420118,8e-05
0967840228,7.89e-05
0020160224,7.85e-05
1571051767,7.83e-05
1879384493,7.8e-05
0738202762,7.71e-05
1578518040,7.66e-05
0446527831,7.65e-05
1891984020,7.62e-05
0970919506,7.61e-05
0684851954,7.55e-05
1580622070,7.55e-05
0694523704,7.54e-05
0553277421,7.54e-05
1402200021,7.51e-05
0674576187,7.48e-05
0803893566,7.43e-05
0694525030,7.4e-05
1899171886,7.38e-05
0965287440,7.38e-05
0786870729,7.37e-05
0658005006,7.36e-05
089529656X,7.21e-05
0312203152,7.21e-05
1568383673,7.19e-05
0312954115,7.18e-05
0912045485,7.17e-05
0415146941,7.12e-05
0553380265,7.08e-05
0028633377,7e-05
1571742255,6.96e-05
0060652942,6.94e-05
0811902129,6.9e-05
0446675962,6.89e-05
0971907609,6.8e-05
1558742255,6.77e-05
047102242X,6.76e-05
0825433460,6.74e-05
1580082513,6.71e-05
0631228748,6.69e-05
0971516502,6.68e-05
1567184855,6.67e-05
047132146X,6.53e-05
0071360530,6.51e-05
002863389X,6.49e-05
1884956173,6.48e-05
0812930959,6.44e-05
155848020X,6.41e-05
1565112334,6.36e-05
0801488311,6.36e-05
0553343661,6.36e-05
0345432657,6.34e-05
0875848362,6.32e-05
1559638354,6.26e-05
0534260349,6.2e-05
0132572478,6.2e-05
0694524859,6.17e-05
055337446X,6.15e-05
0471144622,6.12e-05
B0000025YD,6.11e-05
0553572229,6.03e-05
B0000025RO,6.03e-05
1578631025,5.89e-05
0072483490,5.8e-05
0671519980,5.75e-05
0875964257,5.73e-05
080505314X,5.71e-05
0674011139,5.7e-05
0520077776,5.68e-05
0965568245,5.57e-05
1572242310,5.57e-05
0415226759,5.56e-05
0385495285,5.54e-05
0070526605,5.54e-05
0814404243,5.53e-05
0786868260,5.52e-05
1891411020,5.42e-05
0310247896,5.39e-05
0679758569,5.39e-05
0553274864,5.36e-05
0130103101,5.35e-05
0156443503,5.34e-05
0805418458,5.33e-05
0759640939,5.27e-05
0873374916,5.24e-05
0195090594,5.15e-05
0534385419,5.1e-05
1580625681,5.1e-05
0618056645,5.07e-05
0805011714,5.06e-05
1573241660,5.04e-05
0471237744,5.02e-05
0446677000,5.02e-05
087628473X,5e-05
0139415017,4.93e-05
0312180454,4.89e-05
0743214285,4.88e-05
1559947241,4.87e-05
0452280117,4.81e-05
0873378156,4.79e-05
1576600327,4.79e-05
0425135012,4.75e-05
0425178277,4.73e-05
0761512721,4.72e-05
0879804351,4.69e-05
0962121932,4.68e-05
0618046720,4.64e-05
0609805290,4.56e-05
0030221145,4.56e-05
1403342431,4.51e-05
0553374443,4.51e-05
0873375580,4.5e-05
1578511828,4.49e-05
0451524977,4.46e-05
1893281035,4.46e-05
0743524624,4.46e-05
1587620014,4.44e-05
0553265008,4.43e-05
0471411019,4.42e-05
0887309984,4.42e-05
0471159034,4.41e-05
0195112040,4.39e-05
1559353392,4.32e-05
0415240174,4.29e-05
0963405594,4.28e-05
0964383209,4.18e-05
0471248886,4.17e-05
0553210092,4.14e-05
0876288646,4.13e-05
1564143511,4.13e-05
047100720X,4.12e-05
0066621038,4.1e-05
0595192114,4.1e-05
0787954152,4.08e-05
0156007274,4.07e-05
0883910349,4.06e-05
031024790X,4.06e-05
092291575X,4.03e-05
0520215680,3.98e-05
0670891924,3.98e-05
0072472685,3.96e-05
0140442278,3.93e-05
0070358184,3.91e-05
0684854732,3.9e-05
0573699216,3.8e-05
8479534486,3.78e-05
0812095820,3.78e-05
