,number_of_visits
0875163238,0.0034266
0553212788,0.0033014
0449214923,0.0024302
0130336297,0.0021551
0060931175,0.0020905
0451527100,0.0018568
0066620996,0.001666
086543171X,0.0016555
0609610570,0.0015627
0671723650,0.001486
0140157352,0.0014845
0875421180,0.0014712
0385260954,0.001407
0671646788,0.001376
0875847471,0.0013629
0486411214,0.0013141
0312270178,0.0012774
0671708635,0.0012597
0060652926,0.0012524
0451205367,0.0012213
0684852861,0.0012197
1587620685,0.0011907
0446677450,0.0011787
0486425576,0.0011731
0060391685,0.001141
0805366245,0.0011389
0140444270,0.0011179
0787960756,0.0011158
0060521996,0.0010998
0789723107,0.0010715
068815428X,0.0010678
0192860925,0.0010473
0324183518,0.0010282
0883780305,0.0009718
0399144463,0.0009602
0060931841,0.0009584
1884956173,0.0009467
0446678619,0.0009462
0300087012,0.0009364
0226458083,0.0009359
1580627560,0.0009236
0962067164,0.0009151
0312204280,0.000913
0471213268,0.0009012
0688146198,0.0008972
087516000X,0.0008954
0671792806,0.0008917
0486296024,0.0008887
0688123163,0.0008681
0793144914,0.0008629
0446677477,0.0008525
0875421229,0.0008106
0865475873,0.000805
0875420508,0.0008043
0684857162,0.0008012
0875423248,0.0008009
0761512195,0.0007994
0891061231,0.0007755
0060517123,0.0007753
0786884274,0.0007699
0142000280,0.0007683
0671212095,0.000765
0872205525,0.0007646
0875421288,0.0007633
0393301354,0.0007591
0553345397,0.0007571
0898795109,0.000757
0399142789,0.0007544
0071373586,0.0007496
1561709336,0.0007462
0140280197,0.000739
0140431950,0.0007386
0873529863,0.0007384
0375758259,0.0007379
0140143459,0.0007346
0452010713,0.0007345
0688014291,0.0007304
0316353000,0.0007291
0743201140,0.0007274
0553371312,0.0007257
1555520529,0.0007239
0446677469,0.0007195
0684841487,0.0007111
0060007737,0.0007039
0553283960,0.000691
0345425871,0.0006909
0786866020,0.0006886
0684802031,0.0006873
0471281395,0.0006866
0385720270,0.000683
0451197461,0.0006823
157224223X,0.0006775
0787968331,0.0006765
0735201811,0.0006748
0060958332,0.0006658
0743456947,0.0006635
0070779740,0.0006626
0670031518,0.0006577
0471196533,0.0006566
1561706280,0.0006546
0072528788,0.0006503
0875848192,0.0006479
074323538X,0.0006476
0743525078,0.0006464
0874777984,0.0006462
0735200300,0.0006452
0380713640,0.0006431
0425081028,0.0006361
0671791540,0.0006339
014028852X,0.000621
0609608002,0.0006189
0449911470,0.0006157
030681076X,0.0006136
0688128165,0.0006121
0471414646,0.0006091
1890344060,0.0006073
0060555661,0.0006067
