,number_of_visits
0553212788,0.0033505
0875163238,0.00335
0449214923,0.0023331
0130336297,0.0021648
0060931175,0.0020168
0451527100,0.001873
0066620996,0.0015981
0140157352,0.0015446
0609610570,0.001539
086543171X,0.0015208
0671723650,0.0014358
0385260954,0.00141
0671646788,0.0013865
0875847471,0.0013489
0875421180,0.001333
0486411214,0.0013242
0312270178,0.0012984
0671708635,0.0012819
0684852861,0.0012293
0451205367,0.0012264
0805366245,0.0012238
0486425576,0.0011593
0060652926,0.0011504
0787960756,0.0011346
0446677450,0.0011291
0789723107,0.0011043
0192860925,0.0010962
0060391685,0.0010698
068815428X,0.0010523
0140444270,0.0010513
1587620685,0.0010504
0060521996,0.001045
1884956173,0.0010177
0060931841,0.0010133
0962067164,0.001012
0324183518,0.0010079
0399144463,0.0009442
0446678619,0.0009358
1580627560,0.0009357
0312204280,0.0009192
0226458083,0.0009118
0300087012,0.0009022
0688146198,0.0008989
0883780305,0.0008978
0671792806,0.0008804
087516000X,0.0008776
0486296024,0.0008708
0471213268,0.000863
0761512195,0.0008544
0786884274,0.0008509
0688123163,0.0008489
0793144914,0.0008364
0865475873,0.0008227
0446677477,0.0008111
0872205525,0.0008087
0684857162,0.0008069
0875423248,0.0007798
0553345397,0.0007742
0553371312,0.0007655
0891061231,0.0007639
0875421229,0.0007622
0393301354,0.0007612
0873529863,0.0007551
0935257055,0.0007467
0898795109,0.0007451
0316353000,0.000745
0140280197,0.0007389
1555520529,0.0007379
157224223X,0.0007313
0060517123,0.0007286
0140431950,0.0007276
0071373586,0.0007265
0142000280,0.0007256
0399142789,0.0007256
0671212095,0.0007239
0688014291,0.0007229
0735200300,0.0007164
0375758259,0.0007156
0875421288,0.0007146
0875420508,0.0007111
0070779740,0.0007092
0743201140,0.0007045
0345425871,0.0006992
0060007737,0.0006968
0684802031,0.0006952
0140143459,0.0006946
0553283960,0.0006908
0684841487,0.0006893
1561709336,0.0006819
014028852X,0.0006799
0451197461,0.0006772
0735201811,0.0006766
0446677469,0.0006722
0786866020,0.0006635
0385720270,0.0006591
0809229897,0.0006578
0471196533,0.0006544
0609608002,0.0006536
0743456947,0.0006534
0060958332,0.0006526
0380713640,0.0006516
0553583182,0.0006511
0670031518,0.0006491
0452010713,0.0006379
0471281395,0.0006372
0787968331,0.0006349
156305339X,0.000632
0875848192,0.0006314
1890344060,0.0006276
074323538X,0.000627
030681076X,0.0006265
0874777984,0.0006221
0072528788,0.0006203
0743525078,0.0006196
0671791540,0.0006169
0425081028,0.0006153
0966638328,0.0006108
1572242140,0.0006084
0449911470,0.0006066
0060555661,0.0006064
055327757X,0.0006037
0684868016,0.0005999
1580622577,0.0005981
0887306667,0.0005975
0688039693,0.0005897
0471414646,0.0005828
0060516402,0.0005792
0071401946,0.000571
0918222885,0.0005708
0449902927,0.0005704
0070511136,0.0005699
0131014986,0.0005697
0735200661,0.0005681
1561706280,0.0005671
0688128165,0.0005664
0062503731,0.0005661
0684850028,0.0005655
1561705365,0.0005636
0446673463,0.0005603
0060927585,0.0005583
0671015206,0.0005532
0385030096,0.0005526
0226467716,0.000549
0345410025,0.0005488
0226284182,0.0005478
0931580439,0.0005428
155643393X,0.0005421
0805011943,0.0005391
1567181325,0.0005387
0486287386,0.0005382
0385499345,0.0005365
0793136644,0.0005317
1891984217,0.0005315
0684856360,0.0005309
1581150784,0.0005267
0679755551,0.0005264
0967089328,0.000526
0671724002,0.0005132
0786883561,0.0005116
1570715882,0.0005089
0887306136,0.0005081
0802775985,0.0005074
1559391766,0.0005055
0874774241,0.0005054
0735713308,0.0005008
007140807X,0.0005008
0933121288,0.0004989
0385483961,0.0004985
1571741038,0.0004976
0671727524,0.000495
1571740562,0.0004948
159184021X,0.0004947
0140282025,0.0004933
0787956678,0.000492
0471592242,0.0004918
0671316451,0.0004909
0553562835,0.0004904
0486290735,0.00049
0471177504,0.0004891
006093574X,0.0004884
0140444211,0.0004883
0735201978,0.0004871
0060516070,0.0004865
0887306292,0.0004858
0486411443,0.0004838
0787234796,0.0004828
0887309992,0.0004802
0743520696,0.0004781
0887306187,0.0004745
188516730X,0.0004723
0440147301,0.0004715
0385303122,0.0004695
0785274316,0.0004695
0140442014,0.0004688
1578563682,0.0004688
0671733354,0.0004676
0688170366,0.000467
0842359060,0.0004669
0486419312,0.0004667
0671891634,0.0004662
0875421849,0.0004644
0553266462,0.0004624
0060533226,0.0004623
0793168201,0.0004597
0887309151,0.0004589
0252068920,0.0004568
1565541464,0.0004567
0887307280,0.0004566
0684849143,0.0004566
0500282293,0.0004549
039472903X,0.0004539
0805011714,0.0004522
0465067107,0.0004513
0671746073,0.0004492
0553286749,0.0004492
0671765914,0.0004492
0684846349,0.0004462
1581152507,0.000446
007138703X,0.000446
1578518261,0.0004457
1580622240,0.0004435
074352506X,0.0004427
1587622084,0.0004413
067179227X,0.000441
0887307043,0.0004408
0446673870,0.0004387
0446602744,0.0004386
0452270863,0.0004384
0618249060,0.0004365
0743520718,0.0004357
1886284253,0.0004347
1585420212,0.0004313
0674194241,0.0004294
0874775043,0.0004266
0786865954,0.0004253
002900151X,0.0004252
1879505444,0.000425
0671891049,0.0004236
0875423574,0.0004231
188623017X,0.0004219
1577312295,0.0004206
1558747524,0.0004183
0452283833,0.0004182
0761519661,0.0004169
0831400447,0.0004158
0671708821,0.000414
1578511445,0.000411
0679757651,0.0004106
0486295834,0.0004105
0393318486,0.0004104
156205810X,0.0004102
087477845X,0.0004099
0793173655,0.0004098
0738208175,0.0004085
039370095X,0.0004074
0967751705,0.0004066
1879181584,0.0004063
1880032759,0.000406
0740718584,0.0004059
0809229773,0.0004054
1576751996,0.0004038
0452283574,0.0004025
0517880857,0.0004014
0553245767,0.0004003
002864283X,0.000399
1577312406,0.0003968
1580626823,0.0003962
087584863X,0.0003958
0875847404,0.0003957
0912411481,0.0003955
156138626X,0.0003952
076111940X,0.0003952
1577310462,0.0003948
0471204013,0.0003944
1572242523,0.000394
074325001X,0.000394
0446394599,0.0003939
0446678430,0.0003937
0684870681,0.0003934
0375713425,0.0003929
0449219984,0.0003923
1559391014,0.0003922
0814471145,0.0003916
1576832201,0.0003892
0310210089,0.0003881
0553276999,0.0003878
0786303158,0.0003851
0440145368,0.0003851
0967286247,0.0003843
0471357642,0.000382
089486971X,0.0003819
0446676950,0.0003817
0609806262,0.0003817
0874779731,0.0003802
1580622534,0.0003798
0345428897,0.0003795
0553279726,0.0003795
0785271198,0.0003794
0393318346,0.0003792
0892818662,0.000379
0452281326,0.0003774
0393310353,0.0003773
0312083165,0.0003771
0195136306,0.0003756
1558503919,0.0003749
0385237847,0.000374
0738204633,0.0003732
0071388591,0.0003723
0471189626,0.0003721
1551803542,0.000371
0553371657,0.0003707
0071412913,0.0003702
0062501976,0.0003701
096673839X,0.00037
0761101608,0.000369
0937611352,0.0003677
0060951605,0.0003672
0743227905,0.000367
0449002829,0.0003667
1577310993,0.000366
1578516870,0.0003649
0688103804,0.0003642
0960170618,0.0003624
0316321001,0.0003621
0471353124,0.0003615
1555704026,0.0003606
0060652969,0.0003599
0919345921,0.0003591
0880889187,0.0003591
1578515572,0.000359
0814479928,0.0003581
0818403969,0.0003579
0915556324,0.0003576
0060934913,0.0003569
0887309097,0.0003566
0140178244,0.0003564
067162248X,0.0003549
1567183603,0.0003541
0452272815,0.0003541
0761110526,0.0003539
1855383446,0.0003531
