,number_of_visits
0875848192,0.0008727
0471281395,0.0008505
0553583182,0.0008497
0060555661,0.0008435
0380713640,0.0008397
0452010713,0.0008257
0671791540,0.0008205
0062503731,0.0008188
1580622577,0.0008071
0425081028,0.0008041
0743525078,0.0007916
0743456947,0.0007913
0609608002,0.000787
0072528788,0.0007869
1561706280,0.0007866
156305339X,0.0007812
0918222885,0.0007808
1891984217,0.0007744
0809229897,0.0007669
0966638328,0.0007634
0688039693,0.000757
0486411443,0.0007525
0471414646,0.0007514
074323538X,0.0007509
1890344060,0.0007508
0070511136,0.0007505
0684868016,0.0007502
1572242140,0.0007471
0887306667,0.0007412
0874777984,0.00074
0446673463,0.000714
0735200661,0.0007109
0131014986,0.0007103
0449911470,0.0007103
030681076X,0.0007073
0449902927,0.0007008
0735201978,0.0006976
0226284182,0.0006967
0805011943,0.0006948
0684850028,0.0006926
0793136644,0.0006846
0226467716,0.0006837
0471177504,0.0006803
0684856360,0.0006789
0385030096,0.0006763
1561705365,0.0006714
0688128165,0.0006702
0345410025,0.0006699
1570715882,0.0006662
0385499345,0.0006655
0140282025,0.0006645
0967089328,0.0006631
155643393X,0.0006615
159184021X,0.0006598
1587622084,0.0006596
0671316451,0.000656
0060927585,0.0006557
0060516070,0.0006525
0671727524,0.0006508
0931580439,0.0006505
007140807X,0.0006499
0679755551,0.0006498
0071401946,0.0006488
0671724002,0.0006481
0385303122,0.0006478
0786883561,0.0006463
0887306136,0.0006405
0553266462,0.0006399
0486287386,0.0006322
0553562835,0.00063
0471592242,0.0006242
0887306187,0.0006235
0743520696,0.0006228
0874774241,0.0006223
0060516402,0.0006216
0671891634,0.0006214
1559391766,0.0006208
0887307280,0.00062
1567181325,0.0006177
1571741038,0.0006141
0787956678,0.0006128
1581150784,0.0006102
0887309992,0.0006072
0671015206,0.0006067
1571740562,0.0006048
006093574X,0.0006022
0446673870,0.0005993
0933121288,0.0005964
0684849143,0.000596
0785274316,0.000596
0500282293,0.0005934
0440147301,0.0005908
0802775985,0.0005862
0887309151,0.0005859
0671733354,0.0005855
0842359060,0.0005843
1578518261,0.0005809
0252068920,0.0005804
0887306292,0.0005793
0486419312,0.0005774
0735713308,0.0005774
1578563682,0.0005729
0671891049,0.0005727
0793168201,0.0005707
0486290735,0.0005692
1886284253,0.0005671
039472903X,0.0005663
188516730X,0.0005662
0465067107,0.0005648
0671765914,0.0005625
0743520718,0.0005603
074352506X,0.0005583
1580622240,0.0005555
0375713425,0.0005549
0671746073,0.0005547
007138703X,0.0005542
1581152507,0.0005537
0674194241,0.0005534
0805011714,0.0005501
0738208175,0.0005493
0688170366,0.000549
1580626823,0.0005486
0618249060,0.0005485
1558747524,0.0005481
188623017X,0.0005467
0787234796,0.0005458
087477845X,0.0005436
002900151X,0.0005426
0875421849,0.0005383
0912411481,0.0005381
0452283833,0.0005372
067179227X,0.0005365
0684846349,0.0005349
0060533226,0.0005339
0517880857,0.0005333
0446602744,0.0005331
0310210089,0.0005327
1576832201,0.0005307
0875423574,0.0005302
0679757651,0.0005289
0814471145,0.0005287
0967751705,0.0005274
0471204013,0.0005262
0393318346,0.0005249
002864283X,0.0005225
1572242523,0.0005189
1580622534,0.0005179
0809229773,0.0005174
1879181584,0.0005169
0395906253,0.0005164
0887307043,0.0005162
0609806262,0.0005138
0738204633,0.0005137
156205810X,0.0005135
0140444211,0.0005135
0786865954,0.0005127
1578511445,0.0005116
0937611352,0.0005107
076111940X,0.000509
1577312295,0.0005077
0915556324,0.0005058
0345428897,0.0005002
067162248X,0.0004998
0793173655,0.0004986
1879505444,0.0004979
1585420212,0.0004965
0071388591,0.0004953
0440145368,0.000495
1400046831,0.0004934
1565541464,0.0004894
0553286749,0.0004874
0393310728,0.0004873
1880032759,0.0004873
156138626X,0.0004872
0671708821,0.0004871
0195136306,0.0004856
0140442014,0.0004846
0393310353,0.0004845
1578515572,0.000484
0785271198,0.0004822
0060934913,0.0004814
0142002364,0.0004812
0452270863,0.000481
0831400447,0.0004801
096673839X,0.00048
0892818662,0.0004798
1559391014,0.0004785
0874775043,0.0004772
1577312406,0.000477
0960170618,0.0004763
0786303158,0.0004762
1558503919,0.0004755
0553371657,0.0004751
0761519661,0.0004748
1577310462,0.0004746
0743227905,0.0004745
0071412743,0.0004729
0684870681,0.0004726
1551803542,0.0004725
0830822763,0.000472
0393318486,0.0004718
0880889187,0.00047
1576751996,0.0004688
0471353124,0.0004687
074325001X,0.0004651
0874779731,0.0004643
0875847404,0.0004642
0062501976,0.000464
0471189626,0.0004632
0071412913,0.0004632
1567184855,0.0004618
0875163092,0.0004614
0312083165,0.0004614
0446394599,0.0004592
0393315703,0.0004571
0761101608,0.0004563
0743525159,0.0004562
1578516870,0.000455
0740718584,0.0004538
0875164269,0.0004525
0814479928,0.0004517
1891279017,0.0004516
0446676950,0.000451
155738486X,0.0004507
0805061738,0.0004506
0786887176,0.0004506
0310214785,0.0004505
0471357642,0.0004485
0316321001,0.0004481
0671621009,0.0004469
089486971X,0.0004465
0553274872,0.0004461
0139649581,0.0004453
039370095X,0.0004452
0385483961,0.0004433
0312929870,0.0004418
0399519904,0.0004407
0802138292,0.0004406
0688103804,0.0004375
0553374397,0.0004373
1581800460,0.0004372
0609609491,0.0004371
0553245767,0.0004361
0818403969,0.0004352
0452281326,0.0004341
068480056X,0.0004337
0793160278,0.0004329
0060959371,0.0004321
0967162440,0.0004319
0688112730,0.0004312
1581802366,0.0004298
0873379101,0.0004292
0300088981,0.0004286
1572180714,0.0004284
0553276999,0.0004283
1574101129,0.0004275
0786880708,0.0004272
1577310993,0.0004269
1582970912,0.0004264
0764113992,0.0004262
0486295834,0.0004261
087584863X,0.0004249
0452272815,0.0004249
0060951605,0.0004248
0919345921,0.0004247
188327222X,0.0004245
0671673254,0.0004242
0767908864,0.0004232
0060932902,0.0004228
1567183603,0.0004208
0135853982,0.00042
0764552775,0.0004191
0140178244,0.000418
0140286780,0.0004172
0130957011,0.0004168
0750699035,0.0004167
039952827X,0.0004164
0446678430,0.0004163
0936965088,0.0004158
0967286247,0.0004154
047132339X,0.0004153
0070680345,0.0004153
0452283574,0.0004147
0553279726,0.0004129
0310209307,0.0004119
0761110526,0.0004118
0310236487,0.0004117
0874778980,0.0004115
0735712026,0.0004102
0609805363,0.0004081
0062503995,0.0004078
0140436790,0.0004075
0399146709,0.0004071
0809231581,0.0004065
0967162432,0.0004064
1561705322,0.0004062
0963865439,0.0004061
0971476993,0.0004057
1577311868,0.0004045
0761522131,0.000404
0688069711,0.0004039
0471515388,0.0004036
0446386367,0.0004026
0471436399,0.0004012
0446673072,0.0004004
0937611697,0.0004
0684845776,0.0003999
0671213326,0.0003993
0070511144,0.0003978
0465021212,0.0003976
0471397296,0.0003974
0029019869,0.0003969
0446676683,0.0003967
0471444936,0.0003961
0938399101,0.0003947
1561705403,0.0003946
0521284147,0.0003944
1855383446,0.0003924
0471225347,0.0003923
1564967743,0.0003922
0375407723,0.0003909
0195141628,0.0003906
0440506255,0.0003903
1577310128,0.0003899
0875847161,0.0003895
0688172156,0.0003891
0471059706,0.0003886
0141001895,0.000388
0802467997,0.0003875
0596000359,0.0003862
0553067966,0.0003853
1576752356,0.0003846
0761510575,0.0003842
0262541157,0.0003838
076791029X,0.0003838
1562863282,0.0003822
1891686038,0.0003821
0895948389,0.0003816
1572242167,0.0003815
0071386262,0.0003802
0865714827,0.0003789
0425099733,0.0003785
1581150989,0.0003775
0767904818,0.0003774
0486411249,0.0003772
006051471X,0.000377
157851486X,0.0003754
0446528382,0.0003749
0875846327,0.0003749
0892814500,0.0003748
0449002829,0.0003732
1565656296,0.0003732
0070525587,0.000373
0786311312,0.0003723
0140281916,0.0003721
0684848813,0.0003708
068482471X,0.0003702
0312310846,0.0003699
0060520221,0.0003697
0060086270,0.0003694
0679736042,0.0003689
0471386308,0.0003688
0691027641,0.0003687
0887308244,0.0003687
0399528636,0.000368
0814470726,0.0003679
1561703494,0.0003676
0395687187,0.0003661
0671657135,0.0003661
0070522359,0.000365
0786864370,0.0003649
0875165982,0.0003645
0764526413,0.0003644
0684811464,0.0003642
1571741593,0.0003637
0452275350,0.0003636
0314257918,0.0003632
034537410X,0.0003629
038548254X,0.0003624
0393321886,0.0003616
0812933044,0.0003612
0800785991,0.0003607
1581602820,0.0003605
0672316498,0.0003599
1891686003,0.0003597
0785274308,0.0003594
0809058405,0.0003593
0618335404,0.000359
0767900340,0.0003586
0809224356,0.0003582
0071357246,0.0003581
1572241985,0.0003577
0071362614,0.0003574
0201710382,0.0003556
020132797X,0.0003554
0875848346,0.0003547
0671701355,0.0003544
0321011473,0.0003543
0452283248,0.0003522
0140432078,0.000352
048629899X,0.000352
0142001104,0.0003504
0060932910,0.0003503
0060652969,0.0003498
0671750186,0.0003496
0737304243,0.0003495
073520019X,0.0003495
0071363092,0.0003486
0830819711,0.0003485
0879803975,0.0003484
0812932293,0.0003479
0743200403,0.0003473
0767904842,0.0003469
0201311453,0.0003467
1880115026,0.0003459
1567184995,0.0003456
0071362460,0.0003455
0970643500,0.0003453
0449219984,0.0003442
0131000691,0.000344
1580910637,0.0003432
0321127307,0.0003428
1576751740,0.0003426
0071411909,0.0003417
0787948039,0.0003413
0787955116,0.0003413
0446531774,0.0003409
0440507790,0.0003408
0786868414,0.0003405
1576600351,0.0003404
0201700883,0.0003404
0553263900,0.0003404
0385495927,0.0003402
0471359386,0.00034
0393324397,0.0003392
0785263500,0.0003389
1572242205,0.0003381
1567181406,0.0003376
0887308171,0.0003375
0521627494,0.0003358
0679749861,0.0003356
0465016154,0.0003355
0446385077,0.0003352
1581151993,0.000334
1885167482,0.0003339
0385483821,0.0003338
0399145419,0.0003335
0070089973,0.0003334
089879983X,0.0003331
0553268147,0.0003321
0964595354,0.0003316
0684844419,0.0003313
1568870205,0.0003312
0070527261,0.0003299
0316600059,0.0003287
0062516965,0.0003285
0764102869,0.0003284
0887306144,0.0003272
0140257314,0.000327
0471237744,0.0003265
0380715775,0.0003263
0029117062,0.0003261
1585421162,0.0003255
0140296468,0.0003248
1561584118,0.0003246
019286212X,0.0003243
0967499011,0.0003242
0743212347,0.0003242
0938716360,0.0003236
0875848834,0.0003235
0060928972,0.0003226
0887309097,0.0003224
1561701688,0.0003223
0844203491,0.0003222
0786866578,0.000322
0451167228,0.0003213
0425104257,0.0003209
1558608702,0.0003208
0658001353,0.0003206
0948390530,0.00032
0671745212,0.00032
0385502257,0.0003196
1564144984,0.0003194
0028638352,0.000319
0452265193,0.0003187
0446394998,0.0003186
0743203151,0.0003177
0967205905,0.0003172
0767909089,0.000317
0684841460,0.000317
0205360734,0.0003169
0385479506,0.0003168
1564143511,0.0003163
0553061771,0.0003159
0060652950,0.0003159
0891348581,0.0003155
0875848842,0.0003153
0062516329,0.0003146
0071360751,0.0003144
0879757051,0.0003142
0865713847,0.0003139
0385493223,0.0003135
0446314080,0.0003134
0385496680,0.0003133
1582341028,0.0003133
0658001450,0.0003131
0070246440,0.0003124
0785274405,0.0003114
0875849105,0.0003113
0029184673,0.0003104
0671700758,0.0003101
0385029306,0.0003095
0262550423,0.0003091
1581801467,0.0003088
0140120904,0.0003085
0761506160,0.0003084
1878424068,0.0003082
0553371835,0.000308
0312144776,0.0003079
0785264817,0.0003074
1578631505,0.0003072
1556524625,0.0003071
0684838494,0.0003067
081447795X,0.0003059
0553585975,0.0003054
0671880748,0.0003047
0910924007,0.0003038
007137048X,0.0003037
0764552279,0.0003037
0793144337,0.0003037
0449213315,0.0003032
0070680396,0.0003028
0873377885,0.0003028
073551982X,0.0003028
0618219196,0.0003028
0130903272,0.0003021
0670031860,0.0003018
0837709121,0.0003015
1581152744,0.0003013
0399550003,0.000301
0966797000,0.0003008
0471370088,0.0003004
0684801523,0.0003002
0963203401,0.0002999
0684850419,0.0002997
0515087378,0.0002995
1573921769,0.0002992
0028642201,0.000299
B000063TON,0.0002989
0062516507,0.0002987
0395700132,0.0002985
0876293577,0.0002979
0735202850,0.0002979
093871628X,0.0002972
0890899940,0.0002967
0070504776,0.0002965
0452270545,0.0002957
0671671642,0.0002957
096787551X,0.0002952
0793155614,0.0002952
0750671637,0.0002946
0446675962,0.0002945
0573699216,0.000294
0679763996,0.0002938
0312271913,0.0002936
0471295639,0.0002935
0131001175,0.0002932
0818405716,0.0002926
0446674265,0.0002926
0029183308,0.0002918
0874778379,0.0002917
0875162045,0.0002913
0060652934,0.0002912
