node,number_of_visits
0553212788,0.003378
0875163238,0.0033182
0449214923,0.0023989
0130336297,0.0020929
0060931175,0.0020217
0451527100,0.0019257
0066620996,0.001618
0140157352,0.001558
0609610570,0.0015167
086543171X,0.0015019
0875421180,0.0014669
0385260954,0.0014444
0671723650,0.0014316
0486411214,0.0013671
0671646788,0.0013525
0875847471,0.0013447
0312270178,0.0012857
0671708635,0.001277
0451205367,0.0012272
0486425576,0.001224
0684852861,0.0012137
0446677450,0.0011557
0787960756,0.0011397
1587620685,0.001124
0789723107,0.0011215
0192860925,0.0011187
0060652926,0.0011025
0060391685,0.0011018
0140444270,0.0010911
0060521996,0.0010771
068815428X,0.0010602
0805366245,0.0010387
1884956173,0.0010321
0324183518,0.0009877
0300087012,0.0009592
0399144463,0.0009529
0446678619,0.0009487
0312204280,0.0009468
0226458083,0.0009467
0060931841,0.000946
0486296024,0.000946
0883780305,0.0009219
0962067164,0.0009154
0688146198,0.0009105
1580627560,0.0008941
0471213268,0.0008919
0793144914,0.0008832
0671792806,0.0008671
087516000X,0.0008604
0786884274,0.0008457
0688123163,0.0008358
0875421229,0.0008329
0446677477,0.0008289
0761512195,0.0008187
0875421288,0.0007986
0684857162,0.0007966
0553371312,0.0007742
0875420508,0.0007727
0142000280,0.0007677
0891061231,0.0007649
0935257055,0.0007643
0873529863,0.000762
0553345397,0.000758
0865475873,0.0007563
0140431950,0.000755
0688014291,0.0007502
0898795109,0.0007497
0140280197,0.0007476
0393301354,0.0007459
0553283960,0.0007456
157224223X,0.0007431
0872205525,0.0007406
0875423248,0.0007323
0071373586,0.0007255
0060517123,0.0007243
1561709336,0.0007185
0671212095,0.0007183
0452010713,0.000716
0743201140,0.0007135
0684841487,0.000712
1555520529,0.0007051
0345425871,0.0007032
0451197461,0.0007023
0375758259,0.0007013
0060007737,0.0007003
0070779740,0.0006893
0684802031,0.0006856
0316353000,0.0006847
014028852X,0.0006796
0446677469,0.0006738
0786866020,0.0006668
0140143459,0.0006665
0787968331,0.0006646
0471196533,0.0006535
0471281395,0.0006497
0875848192,0.0006473
0425081028,0.0006462
156305339X,0.0006433
0609608002,0.0006418
030681076X,0.0006377
0874777984,0.0006355
074323538X,0.0006347
055327757X,0.0006347
0380713640,0.0006346
0385720270,0.0006337
0735200300,0.0006319
0735201811,0.0006306
0471414646,0.0006266
0399142789,0.0006195
0743525078,0.000619
0553583182,0.0006164
0809229897,0.0006147
0918222885,0.0006135
0887306667,0.0006088
0688039693,0.0006084
1891984217,0.0006022
0670031518,0.000602
1580622577,0.0006013
0684868016,0.000599
1572242140,0.0005983
1561706280,0.0005975
0449911470,0.000597
0060555661,0.0005964
1890344060,0.0005885
0966638328,0.0005864
0671791540,0.0005853
0131014986,0.0005845
0072528788,0.0005793
0070511136,0.0005788
0688128165,0.0005778
0062503731,0.0005776
0486411443,0.0005771
0060516402,0.0005761
155643393X,0.0005737
0071401946,0.0005706
